donor,path,sha256,size_bytes,file_type,language,classification,authority_status,semantic_record_ids,notes
ai-setup,.cursor/rules/caliber-learnings.mdc,0e44858e1b9cb5b243f674e1a972c2d567a39aace79617628654c73e11c54596,279,mdc,unknown,implementation,authoritative-or-review-required,CAL-ROOT,
ai-setup,.cursor/rules/caliber-pre-commit.mdc,82ab81f69959c86f2ab0cb8ed25ef7ced367b6d78e0027e7b15dab75e7720825,822,mdc,unknown,implementation,authoritative-or-review-required,CAL-ROOT,
ai-setup,.cursor/rules/llm-layer.mdc,d4ec9a0e8c36b7975a1ce9f762786d0f0885d37223806dc3ac8f0e9fcf8dffbc,643,mdc,unknown,implementation,authoritative-or-review-required,CAL-ROOT,
ai-setup,.cursor/rules/testing.mdc,2f657a75c504af8037d464a1ba2ad3e1699abc1e17af3ce90dbf5dc4d3a1a321,685,mdc,unknown,implementation,authoritative-or-review-required,CAL-ROOT,
ai-setup,.cursor/skills/adding-a-command/SKILL.md,73e93413cd364857352c6c3af455bf89868f4186f965f9e75ad954aaf6901d62,7864,md,markdown,documentation,authoritative-or-review-required,CAL-ROOT,
ai-setup,.cursor/skills/caliber-testing/SKILL.md,8cdd36e800d86c72d6d6462e48788f00f0022586eff0314c6804a37437b87503,12907,md,markdown,documentation,authoritative-or-review-required,CAL-ROOT,
ai-setup,.cursor/skills/find-skills/SKILL.md,a987a8d9d19abfb7f9888fdb121a464da507db186b8ebdda4fbe5b0bad94c207,2371,md,markdown,documentation,authoritative-or-review-required,CAL-ROOT,
ai-setup,.cursor/skills/llm-provider/SKILL.md,f0668eaedf386c2938cec64947b86b7526a783aa42e1b79c9cc06d33db8293c1,10796,md,markdown,documentation,authoritative-or-review-required,CAL-ROOT,
ai-setup,.cursor/skills/save-learning/SKILL.md,f8af7becc6a36e68b1eebc7b28163ed98f9b8300f9a7ac3f929ccdd4c4c560d9,2513,md,markdown,documentation,authoritative-or-review-required,CAL-ROOT,
ai-setup,.cursor/skills/scoring-checks/SKILL.md,2fe1ead62a0ee71ead06801b21db8d039d6f38c400568df7698ee99a9d8fa5f6,12017,md,markdown,documentation,authoritative-or-review-required,CAL-ROOT,
ai-setup,.cursor/skills/setup-caliber/SKILL.md,0d5a028b72e48a24c3b8f540f6e575077c2e8868d658ae739e5ab56ba8420fc8,7834,md,markdown,documentation,authoritative-or-review-required,CAL-ROOT;CAL-MULTI,
ai-setup,.cursor/skills/writers-pattern/SKILL.md,ea18f96e4f9e2e1f4f1ded6b3531d5e7ae2b97f507525a6cebaa573c0d903dd4,14824,md,markdown,documentation,authoritative-or-review-required,CAL-ROOT,
ai-setup,.gitattributes,6a360cdc26001a6c8687d7efd9acd4fd2b84cc79cfcb4595dab17c57e50b5156,689,none,unknown,implementation,authoritative-or-review-required,CAL-ROOT,
